NlmUniqueID	PMID
0321050	11
0321213	153
0322067	23
0322116	396
0323156	12
0323431	94
0323470	444
0323553	4
0323767	77
0324055	83
0326013	12
0326144	80
0326264	183
0326377	295
0330057	171
0330167	192
0330411	231
0330465	6
0330471	16
0330500	8838
0330501	91
0330666	132
0331266	57
0331757	1
0331777	130
0332173	395
0332203	30
0332675	11
0333506	108
0333507	204
0333524	3
0333601	179
0334721	73
0335405	304
0337330	98
0337752	2
0342017	78
0342051	3
0342367	147
0342677	107
0346411	557
0346574	17
0346653	244
0347227	82
0347242	82
0347631	36
0351014	296
0354343	226
0354422	275
0354720	339
0355501	470
0355667	1
0356504	57
0356657	92
0356763	8
0357015	1
0357245	84
0357443	179
0360051	42
0360342	63
0361031	262
0361055	223
0361512	214
0361547	157
0361603	64
0364220	223
0364265	31
0364441	106
0364456	357
0364535	94
0365252	6
0365260	29
0365263	73
0365304	367
0365307	293
0365316	51
0365332	386
0365337	63
0365646	71
0366151	848
0366372	227
0366543	2116
0367033	327
0367050	124
0367056	1
0367541	278
0370033	87
0370073	127
0370121	102
0370123	45
0370270	191
0370301	13
0370306	185
0370307	68
0370310	216
0370320	104
0370336	190
0370343	191
0370344	119
0370354	119
0370364	144
0370366	264
0370374	431
0370400	35
0370401	35
0370413	11
0370416	42
0370417	22
0370421	2
0370425	11
0370431	7
0370435	16
0370436	19
0370441	7
0370465	229
0370467	170
0370470	261
0370473	722
0370475	182
0370476	801
0370500	498
0370502	166
0370506	348
0370507	476
0370512	155
0370521	136
0370522	958
0370524	315
0370525	63
0370534	1003
0370535	320
0370536	2088
0370543	3787
0370550	130
0370570	216
0370571	141
0370600	43
0370604	63
0370612	65
0370614	1
0370616	88
0370617	47
0370623	313
0370624	17
0370625	277
0370626	479
0370635	512
0370636	127
0370647	48
0370657	101
0370667	62
0370674	84
0370707	355
0370711	81
0370712	259
0370713	166
0370732	66
0370735	127
0370740	42
0370750	171
0370760	44
0371632	1
0372264	3
0372307	78
0372343	116
0372347	184
0372351	655
0372354	852
0372355	561
0372361	18
0372367	45
0372370	36
0372373	18
0372374	49
0372377	55
0372403	194
0372406	165
0372430	239
0372434	414
0372441	8
0372460	163
