NlmUniqueID	Year
0032311	1969
0032342	1902
0032351	1964
0032352	1999
0032450	1949
0032510	1989
0032666	2001
0033040	2018
0033046	1993
0033325	1962
0033334	1982
0033335	1984
0033336	1982
0033356	1964
0033360	1962
0033370	2022
0033401	2021
0033473	1967
0033567	1992
0033620	1970
0033671	1981
0033754	1977
0033760	1978
0033776	1965
0034007	1972
0034027	1946
0034270	1995
0034351	2022
0034461	2021
0034470	1962
0034616	1824
0034617	1847
0034640	1948
0034745	1964
0035247	1969
0035301	1971
0035477	1964
0035523	1964
0035623	2022
0035654	1971
0035665	2022
0035777	1972
0036137	1968
0036162	1978
0036320	1970
0036410	1981
0036662	1985
0036665	2002
0036761	1990
0037013	1987
0037035	1945
0037112	1947
0037125	1980
0037177	1945
0037206	1965
0037265	1986
0037276	2015
0037353	2003
0037362	1979
0037504	1983
0040021	1977
0040024	1974
0040162	2005
0040250	1994
0040373	1977
0040527	1971
0040616	1988
0040752	1974
0041135	1993
0041265	1945
0042005	2022
0042033	2022
0042116	1985
0042124	2023
0042143	1999
0042334	1981
0042336	1979
0042365	1983
0042510	2022
0042624	1976
0042671	1993
0042715	2022
0042767	2022
0043110	1998
0043125	2023
0043147	2008
0043154	1971
0043175	2022
0043246	2011
0043264	2021
0043306	2022
0043312	2022
0043417	1976
0043441	1967
0043523	1993
0043524	2016
0043533	2022
0043535	2022
0043541	2022
0043545	2022
0043605	1972
0043617	2022
0043732	1980
0043764	2022
0044034	1994
0044071	2007
0044263	2011
0044272	1978
0044350	1977
0044500	1976
0044560	1995
0044610	2017
0044637	1981
0044652	2022
0044671	2021
0045130	2022
0045170	2022
0045233	2022
0045265	1989
0045312	2022
0045332	2023
0045335	2022
0045354	1982
0045377	2022
0045406	1966
0045472	1975
0045503	2023
0045506	1994
0045507	1987
0045533	1990
0045606	2001
0045677	1979
0045715	2022
0045747	1985
0046021	2022
0046024	1978
0046027	1977
0046052	2022
0046314	1981
0046347	1969
0046433	1968
0046535	1945
0046550	2018
0047061	2022
0047103	2022
0047107	1970
0047142	2002
0047220	1992
0047354	2017
0047421	1984
0047422	1969
0047441	2007
0047556	1984
0047634	1969
0047670	2022
0047723	2008
0047757	2022
0050006	2022
0050076	1965
0050115	2000
0050202	2022
0050222	2022
0050235	1970
0050303	2022
0050430	1949
0050435	1961
0050452	2023
0050556	2012
0050610	1995
0050620	1989
0050636	1971
0050677	1989
0050734	2022
0050772	1972
0051012	2021
0051104	1965
0051420	1980
0051452	1965
0051530	1977
0051531	2010
0051574	2017
0051757	2017
0052130	1963
0052457	2023
0052631	2022
0052704	1991
0053006	2022
0053225	1965
0053252	2022
0053303	2021
0053353	1996
0053462	2018
0054202	1965
0054204	1970
0054211	1965
0054224	1969
0054655	2022
0055030	2022
0055107	2022
0055201	2022
0055203	2022
0055371	1990
0055427	1979
0055467	1970
0055564	1961
0055616	1999
0055635	1980
0055653	1991
0055673	1973
0056011	1994
0056013	1978
0056205	1971
0056272	1979
0056471	2022
0056517	1977
0056714	1975
0057026	1992
0057113	1990
0057120	1972
0057161	1979
0057202	2022
0057204	1980
0057376	1971
0057664	2016
0057730	2014
0057764	2022
0060105	2022
0060172	1979
0060366	1952
0060433	2022
0060440	1961
0060441	1960
0060450	2022
0060461	1973
0060503	1965
0060560	1966
0060610	1983
0060612	1971
0060642	1959
0060677	2016
0060752	1974
0060757	1965
0060760	1965
0061156	1990
0061242	1989
0061331	2004
0061352	2007
0061353	1965
0061372	1992
0061432	1961
0061473	1987
0061476	1965
0061573	1965
0061651	1966
0062434	2002
0062647	2022
0062702	1976
0063012	2002
0063015	1992
0063132	1949
0063222	1960
0063413	1991
0063417	1997
0063501	1992
0063661	1965
0063733	1984
0063734	1977
0063742	1969
0064143	2020
0064145	2022
0064224	1987
0064233	1972
0064270	1961
0064302	2022
0064362	1965
0064375	1972
0064523	1990
0064572	1982
0064717	2022
0064720	1960
0064753	1982
0064754	1965
0064756	1949
0064757	2022
0064761	1946
0065035	1979
0065163	1985
0065217	2021
0065255	1997
0065324	2022
0065346	2016
0065371	2022
0065403	1987
0065720	1980
0065750	2022
0066040	2011
0066127	2022
0066130	1976
0066175	1965
0066413	1996
0066472	1990
0066560	2022
0066654	2022
0066741	1965
0066751	2022
0067036	1963
0067206	2022
0067303	1979
0067335	2022
0067406	1974
0067457	1972
0067507	2016
0067643	1943
