NlmUniqueID	Title	MedlineTA	Country	Place	Publisher	PublicationFirstYear	PublicationEndYear	Frequency	ISSN-Electronic	ISSN-Print	ISSN-Linking	Language	TitleContinuationYN	IndexingStartDate	CurrentlyIndexedYN	IndexOnlineYN	IndexingSubset	IndexingSelectedURL	ReportedMedlineYN	ISSN	sherpa_oa	embargo	sherpa_oa_green	additional_oa_fee	sherpa_oa_hybrid	title_sherpa	issne_sherpa	issnp_sherpa	url	publisher_id	publisher_country	publisher_type	publisher_url	publisher_name	sherpa_id	sherpa_uri	ISSN_old_x	DOAJ_pissn	ISSN_old_y	DOAJ_title	DOAJ_eissn	DOAJ_Seal	DOAJ_date	DOAJ_year	DOAJ
101581063	Bioengineered	Bioengineered	United States	Philadelphia, PA	Taylor & Francis	2012		Bimonthly	2165-5987	2165-5979	2165-5979	eng	Y	2012.0	Y	Y	IM	http://www.tandfonline.com/toc/kbie20/current	Y	2165-5987																	2165-5987	2165-5987		Bioengineered	2165-5987	No	2019-02-14T09:20:02Z	2019	yes
101599820	Biomedical journal	Biomed J	United States	New York	Elsevier	2012		Bimonthly	2320-2890	2319-4170	2319-4170	eng	Y	2012.0	Y	Y	IM	http://www.sciencedirect.com/science/journal/23194170	Y	2320-2890																	2320-2890	2320-2890		Biomedical Journal	2320-2890	No	2013-01-08T10:15:27Z	2013	yes
101140142	Biomedical papers of the Medical Faculty of the University Palacký, Olomouc, Czechoslovakia	Biomed Pap Med Fac Univ Palacky Olomouc Czech Repub	Czech Republic	Olomouc	Vydavatelství Univerzity Palackého	1985		Two issues a year,		1213-8118	1213-8118	cze	N	2001.0	Y	Y	IM	http://biomed.papers.upol.cz/	Y	1213-8118																		1213-8118	1804-7521	Biomedical Papers	1804-7521	No	2019-12-17T14:32:02Z	2019	yes
8205605	Biomédica : revista del Instituto Nacional de Salud	Biomedica	Colombia	Bogota	Instituto Nacional de Salud	1981		Quarterly	2590-7379	0120-4157	0120-4157	spa	N	2002.0	Y	Y	IM	http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-4157&lng=pt&nrm=iso	Y	2590-7379																	2590-7379	2590-7379		Biomédica: revista del Instituto Nacional de Salud	2590-7379	No	2016-11-11T09:34:00Z	2016	yes
101465334	BMB reports	BMB Rep	Korea (South)	Seoul	Korean Society for Biochemistry and Molecular Biology	2008		Monthly	1976-670X	1976-6696	1976-6696	eng	Y	2008.0	Y	Y	IM	http://bmbreports.org	Y	1976-670X																	1976-670X	1976-670X		BMB Reports	1976-670X	No	2008-12-10T11:59:50Z	2008	yes
101761232	BMC complementary medicine and therapies	BMC Complement Med Ther	England	London	BioMed Central	2020		Annual	2662-7671		2662-7671	eng	Y	2020.0	Y	Y	IM	https://link.springer.com/journal/12906	Y	2662-7671																	2662-7671	2662-7671		BMC Complementary Medicine and Therapies	2662-7671	No	2020-04-02T12:36:00Z	2020	yes
0414106	Boletín médico del Hospital Infantil de México	Bol Med Hosp Infant Mex	Mexico	Ciudad de México	Permanyer	1944		Bimonthly,	1665-1146	0539-6115	0539-6115	spa	N	1965.0	Y	Y	IM	https://bmhim.com/index.php	Y	1665-1146																	1665-1146	1665-1146		Boletín Médico del Hospital Infantil de México	1665-1146	No	2021-03-29T08:23:20Z	2021	yes
9214652	Brazilian dental journal	Braz Dent J	Brazil	Ribeirão Preto	Dental Foundation of Ribeirão Preto	1990		Three no. a year,	1806-4760	0103-6440	0103-6440	eng	N	1990.0	Y	Y	D	http://www.scielo.br/scielo.php?script=sci_issues&pid=0103-6440&lng=en&nrm=iso	Y	1806-4760																	1806-4760	1806-4760		Brazilian Dental Journal	1806-4760	No	2017-03-13T13:58:31Z	2017	yes
101129542	Brazilian journal of biology = Revista brasleira de biologia	Braz J Biol	Brazil	São Carlos, SP [Brazil]	International Institute of Ecology	2000		Quarterly	1678-4375	1519-6984	1519-6984	eng	Y	2000.0	Y	Y	IM	http://www.scielo.br/scielo.php?script=sci_issues&pid=1519-6984&lng=en&nrm=iso	Y	1678-4375																	1678-4375	1678-4375		Brazilian Journal of Biology	1678-4375	No	2004-04-23T21:31:00Z	2004	yes
101677045	Brazilian journal of cardiovascular surgery	Braz J Cardiovasc Surg	Brazil	São Paulo, SP, Brasil	Brazilian Society of Cardiovascular Surgery	2015		Bimonthly	1678-9741	0102-7638	0102-7638	eng	Y	2015.0	Y	Y	IM	http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-7638&lng=en&nrm=iso	Y	1678-9741																	1678-9741	1678-9741		Brazilian Journal of Cardiovascular Surgery	1678-9741	No	2004-04-23T21:31:01Z	2004	yes
