NlmUniqueID	embargo	sherpa_id	embargo_published_version	embargo_accepted_version	oa_status
0144554	6	2199		6.0	green
0144731	0	8991		0.0	green
0145600	12	8243		12.0	green
0147621	12	11285		12.0	green
0147763	6	8733		6.0	green
0150372	12	8139		12.0	green
0150472	0	8997		0.0	green
0150760	0	9001		0.0	green
0151000	12	11780		12.0	green
0151115	6	3993		6.0	green
0151434	12	4667		12.0	green
0151504	12	17126		12.0	green
0151620	0	8979		0.0	green
0152016	0	9043		0.0	green
0153605	12	13876		12.0	green
0154720	12	8155		12.0	green
0155157	12	16899		12.0	green
0157312	0	9307		0.0	green
0157313	12	7760		12.0	green
0157375	12	13780		12.0	green
0164074	12	14579		12.0	green
0165035	12	11393		12.0	green
0165053	12	15974		12.0	green
0171671	0	32146	0.0	0.0	green
0173225	12	21438		12.0	green
0173320	12	7445		12.0	green
0174752	0	9002		0.0	green
0174763	12	27339		12.0	green
0175411	12	19700		12.0	green
0177346	6	1613		6.0	green
0177625	12	17008		12.0	green
0177722	12	10713		12.0	green
0200525	0	9013		0.0	green
0202503	12	13025		12.0	green
0203706	0	201		0.0	green
0203727	12	27382		12.0	green
0204522	12	3778		12.0	green
0204634	12	6975		12.0	green
0207224	12	13577		12.0	green
0207277	12	14170		12.0	green
0210174	12	12569		12.0	green
0210453	12	13337		12.0	green
0211301	12	13022		12.0	green
0213155	12	7774		12.0	green
0213264	12	15492		12.0	green
0214055	12	6902		12.0	green
0214745	12	15136		12.0	green
0215166	12	10787		12.0	green
0217132	12	15096		12.0	green
0217410	0	23904		0.0	green
0217440	12	4761		12.0	green
0217764	12	11301		12.0	green
0222526	0	3464		0.0	green
0222643	12	13898		12.0	green
0224131	0	14640		0.0	green
0226040	12	16944		12.0	green
0226661	12	27437		12.0	green
0226703	0	23145	0.0	0.0	green
0227276	12	15501		12.0	green
0230027	0	8870	0.0	12.0	green
0231335	12	11088		12.0	green
0231714	12	7400		12.0	green
0234135	12	1944		12.0	green
0234361	12	16867		12.0	green
0235266	6	18993		6.0	green
0236217	12	4662		12.0	green
0236512	12	15474		12.0	green
0236760	12	1392		12.0	green
0241111	12	16052		12.0	green
0242543	12	16730		12.0	green
0243532	12	15883		12.0	green
0243704	12	3661		12.0	green
0243705	6	14671	6.0	12.0	green
0245075	18	13779		18.0	green
0245331	12	6864		12.0	green
0246127	0	6218	6.0	0.0	green
0247035	12	23430		12.0	green
0247660	12	13349		12.0	green
0250641	12	30984		12.0	green
0251711	12	16375		12.0	green
0252052	12	15160		12.0	green
0253664	12	11855		12.0	green
0254463	12	4806		12.0	green
0255562	0	14667	6.0	0.0	green
0256422	12	11414		12.0	green
0260231	12	4653		12.0	green
0260316	24	13827		24.0	green
0260564	0	3453		0.0	green
0261412	12	12437		12.0	green
0262321	12	4260		12.0	green
0262322	12	11378		12.0	green
0262521	12	13447		12.0	green
0266262	12	6978		12.0	green
0267200	12	12950		12.0	green
0270707	12	908		12.0	green
0312020	0	11089		0.0	green
0313225	6	1356		6.0	green
0314024	12	13183		12.0	green
0314524	12	8109		12.0	green
0315061	0	6213	6.0	0.0	green
0315073	18	5178		18.0	green
0320626	12	11887		12.0	green
0320657	12	4576		12.0	green
0321213	12	998		12.0	green
0322067	12	834		12.0	green
0322116	12	11406		12.0	green
0323431	0	14536		0.0	green
0323470	12	4000		12.0	green
0323767	12	24375		12.0	green
0324055	0	11939		0.0	green
0326144	12	10818		12.0	green
0326264	12	8130		12.0	green
0326377	12	16852		12.0	green
0330057	12	3191		12.0	green
0330167	12	1323		12.0	green
0330411	0	19856	0.0	0.0	green
0330500	12	15487		12.0	green
0330501	12	16564		12.0	green
0330666	12	17989		12.0	green
0331777	0	9024		0.0	green
0332173	12	17145		12.0	green
0333506	12	15732		12.0	green
0333507	12	14870		12.0	green
0333601	0	9212		0.0	green
0335405	12	18005		12.0	green
0337330	12	11375		12.0	green
0342017	0	14328		0.0	green
0342367	6	57		6.0	green
0346411	0	24752	0.0	0.0	green
0346653	12	11756		12.0	green
0347227	12	16600		12.0	green
0347631	12	15640		12.0	green
0351014	12	790		12.0	green
0354343	12	9266		12.0	green
0354422	12	13865		12.0	green
0354720	12	28923		12.0	green
0355501	0	8751	0.0	12.0	green
0356504	12	18802		12.0	green
0356657	12	4268		12.0	green
0357245	12	11811		12.0	green
0357443	12	13120		12.0	green
0360051	12	14315		12.0	green
0360342	12	7863		12.0	green
0361031	12	3288	12.0		green
0361055	12	16090		12.0	green
0361512	12	15673		12.0	green
0361603	12	14245	12.0		green
0364220	12	15697		12.0	green
0364265	0	9015	0.0		green
0364456	12	12996		12.0	green
0364535	24	14336		24.0	green
0365263	12	781		12.0	green
0365304	12	11299		12.0	green
0365307	12	17372		12.0	green
0365332	12	8152		12.0	green
0365337	0	3517		0.0	green
0365646	0	7369		0.0	green
0366372	12	27434		12.0	green
0366543	12	7780		12.0	green
0367033	12	15099		12.0	green
0367050	12	12843		12.0	green
0367541	12	16793		12.0	green
0370033	0	7368		0.0	green
0370073	0	4858	0.0		green
0370121	12	27122		12.0	green
0370270	12	6770		12.0	green
0370306	12	6326		12.0	green
0370307	0	19886		0.0	green
0370310	0	13690	0.0		green
0370320	12	377		12.0	green
0370336	12	11840		12.0	green
0370343	0	6772	0.0	0.0	green
0370344	12	753		12.0	green
0370354	12	756		12.0	green
0370364	12	11850		12.0	green
0370366	0	1725	0.0		green
0370374	12	1726		12.0	green
0370400	0	2203	0.0	0.0	green
0370401	0	43191	0.0	0.0	green
0370436	12	3176		12.0	green
0370465	12	3180		12.0	green
0370467	12	24607		12.0	green
0370470	12	30983		12.0	green
0370473	12	14174		12.0	green
0370475	6	6578		6.0	green
0370476	12	3181		12.0	green
0370500	12	10550		12.0	green
0370502	12	10325		12.0	green
0370506	0	8943	0.0	12.0	green
0370507	0	10299	12.0	0.0	green
0370512	0	9895		0.0	green
0370521	0	3404		0.0	green
0370524	12	7597		12.0	green
0370534	12	10557		12.0	green
0370535	12	10558		12.0	green
0370536	12	7775		12.0	green
0370543	12	1320		12.0	green
0370570	12	32978		12.0	green
0370571	12	33499		12.0	green
0370612	12	4746		12.0	green
0370616	12	6790		12.0	green
0370623	12	7766		12.0	green
0370626	12	11359		12.0	green
0370635	6	1627		6.0	green
0370636	12	18407		12.0	green
0370647	12	6833		12.0	green
0370657	12	3215		12.0	green
0370667	12	17340		12.0	green
0370707	12	11289		12.0	green
0370711	12	11287		12.0	green
0370712	12	11290		12.0	green
0370713	12	11291		12.0	green
0370723	0	9005		0.0	green
0370735	12	11296		12.0	green
0370740	12	16383		12.0	green
0370760	0	8810	0.0	12.0	green
0372307	0	22989		0.0	green
0372347	12	310		12.0	green
0372354	0	8719	0.0	12.0	green
0372355	0	1663		0.0	green
0372361	12	4933		12.0	green
0372377	0	277		0.0	green
0372403	12	11122		12.0	green
0372406	0	13350		0.0	green
0372430	12	11269		12.0	green
0372434	0	1664		0.0	green
0372477	24	16735		24.0	green
0372516	12	11271		12.0	green
0372525	12	19011		12.0	green
0372526	0	1799		0.0	green
0372537	12	1339		12.0	green
0372541	12	1338		12.0	green
0372544	12	133		12.0	green
0372547	6	1428		6.0	green
0372553	12	3711		12.0	green
0372557	12	11837		12.0	green
0372606	0	9067		0.0	green
0372612	0	4758	0.0	0.0	green
0372617	12	3188		12.0	green
0372625	12	17059		12.0	green
0372630	12	8298		12.0	green
0372646	0	8713	0.0	12.0	green
0372650	12	43226		12.0	green
0372652	12	17995		12.0	green
0372707	0	10131		0.0	green
0372712	0	10133		0.0	green
0372714	12	14334		12.0	green
0372715	0	13678	0.0		green
0372725	12	6839		12.0	green
0372741	12	1636		12.0	green
0372762	12	11282		12.0	green
0372763	0	4056		0.0	green
0372764	0	8784	0.0	12.0	green
0372772	12	16900		12.0	green
0373007	6	3988		6.0	green
0373027	12	35790		12.0	green
0373062	0	19900	0.0	0.0	green
0373100	0	41196	0.0		green
0373124	12	18405		12.0	green
0373125	12	13754	12.0	12.0	green
0373126	24	7620		24.0	green
0373220	12	5228		12.0	green
0373224	12	6866		12.0	green
0373226	12	11288		12.0	green
0374236	12	6835		12.0	green
0374630	12	4770		12.0	green
0374636	12	14252		12.0	green
0374654	0	18391	0.0	0.0	green
0374655	0	15898	0.0	0.0	green
0374660	0	9188		0.0	green
0374672	12	904		12.0	green
0374675	0	22011	0.0	0.0	green
0374701	0	23497	0.0	0.0	green
0374716	12	8029		12.0	green
0374720	12	13512		12.0	green
0374726	0	9214		0.0	green
0374731	0	8815	0.0	12.0	green
0374750	12	15879		12.0	green
0374755	12	7781		12.0	green
0375037	24	16892		24.0	green
0375040	12	14394	12.0	12.0	green
0375267	12	4794		12.0	green
0375272	0	32215	0.0	12.0	green
0375327	12	725		12.0	green
0375356	0	25761	0.0	0.0	green
0375360	0	9875	12.0	0.0	green
0375361	12	15937		12.0	green
0375362	12	26766	12.0	12.0	green
0375363	0	11758		0.0	green
0375370	12	15964		12.0	green
0375373	12	1365		12.0	green
0375400	12	14683		12.0	green
0375402	0	8952	0.0	12.0	green
0375403	12	14140		12.0	green
0375404	12	32002		12.0	green
0375410	12	3251		12.0	green
0375434	12	4081		12.0	green
0375521	12	16951		12.0	green
0375566	12	15493		12.0	green
0375655	12	1334		12.0	green
0375672	12	12862		12.0	green
0376027	12	6233		12.0	green
0376166	12	5378		12.0	green
0376331	12	14083		12.0	green
0376332	12	18984		12.0	green
0376333	12	14084		12.0	green
0376334	12	6918		12.0	green
0376337	0	32236	0.0	12.0	green
0376340	12	11385		12.0	green
0376342	12	11387		12.0	green
0376343	12	3221		12.0	green
0376362	0	9890		0.0	green
0376363	12	20573		12.0	green
0376364	12	3219		12.0	green
0376370	12	15973		12.0	green
0376372	12	16276		12.0	green
0376377	12	19939		12.0	green
0376404	0	8890	0.0	12.0	green
0376405	12	7698		12.0	green
0376412	0	3386		0.0	green
0376422	12	6237		12.0	green
0376425	12	6940		12.0	green
0376427	18	5960		18.0	green
0376442	12	4814		12.0	green
0376465	12	16673		12.0	green
0376470	12	42138		12.0	green
0376473	0	3504		0.0	green
0376475	0	10322		0.0	green
0376476	0	3506		0.0	green
0376503	12	17310		12.0	green
0376505	0	8913	0.0	12.0	green
0376507	12	4816		12.0	green
0376536	12	6361		12.0	green
0376542	12	247		12.0	green
0376573	12	6893		12.0	green
0376574	12	3268		12.0	green
0376600	12	726		12.0	green
0376601	0	1900		0.0	green
0376606	0	10348	0.0	0.0	green
0376611	0	21943	0.0	0.0	green
0376617	12	4001		12.0	green
0376642	0	31190	0.0	0.0	green
0376757	12	16138		12.0	green
0400640	0	29535		0.0	green
0400645	0	29935	0.0		green
0400666	24	7725		24.0	green
0400673	0	17830	0.0	0.0	green
0400675	12	4633		12.0	green
0400721	0	24171		0.0	green
0400732	0	32222	0.0	12.0	green
0400763	12	16602		12.0	green
0400764	12	14941		12.0	green
0400767	12	36195		12.0	green
0400773	12	36001		12.0	green
0401006	12	15221		12.0	green
0401007	0	8893	0.0	12.0	green
0401052	0	24458		0.0	green
0401057	12	10472		12.0	green
0401060	12	8876		12.0	green
0401067	6	14685	6.0		green
0401075	12	3227		12.0	green
0401101	0	8894	0.0	12.0	green
0401107	0	19573	0.0	0.0	green
0401121	6	2154		6.0	green
0401126	12	4809		12.0	green
0401131	0	10321		0.0	green
0401132	0	8606		0.0	green
0401133	12	15227		12.0	green
0401141	0	13640	0.0	0.0	green
0401147	12	42179		12.0	green
0401150	0	24335	0.0	0.0	green
0401152	12	17448		12.0	green
0401220	12	11266		12.0	green
0401223	12	17127		12.0	green
0401224	12	41250		12.0	green
0401233	12	4679		12.0	green
0401260	0	14287	6.0	0.0	green
0401273	12	10782		12.0	green
0401300	12	12972		12.0	green
0401404	12	11842		12.0	green
0401650	12	16877		12.0	green
0401663	12	15097		12.0	green
0401664	12	11372		12.0	green
0402313	12	16822		12.0	green
0403171	24	12809		24.0	green
0403234	12	13026		12.0	green
0404024	12	763		12.0	green
0404243	12	6234		12.0	green
0404375	12	993		12.0	green
0404510	12	3792		12.0	green
0404511	0	11114		0.0	green
0404514	12	4826		12.0	green
0404520	0	12364	0.0	0.0	green
0404536	12	17156		12.0	green
0404551	12	16758		12.0	green
0405376	0	4156	0.0	0.0	green
0405543	12	21313		12.0	green
0405571	0	9874	12.0	0.0	green
0406021	0	14979		0.0	green
0406041	12	13917		12.0	green
0406125	12	13896		12.0	green
0407300	0	41638		0.0	green
0410263	12	11858		12.0	green
0410427	12	7853		12.0	green
0410447	24	22119		24.0	green
0410462	0	4008		0.0	green
0410553	12	12884		12.0	green
0411011	0	1383	0.0	0.0	green
0411361	0	31121	0.0	0.0	green
0411772	12	18874		12.0	green
0412004	0	24172		0.0	green
0412041	12	7403		12.0	green
0413066	12	6580		12.0	green
0413415	24	1373		24.0	green
0413423	0	20323	0.0		green
0413606	12	3666		12.0	green
0413675	12	18524		12.0	green
0414162	12	8295		12.0	green
0414576	12	6829		12.0	green
0414670	12	13789	12.0		green
0415227	6	28399		6.0	green
0415677	12	8172		12.0	green
0416575	12	11415		12.0	green
0416661	12	83		12.0	green
0417347	12	3250		12.0	green
0417353	0	1961		0.0	green
0417360	12	15950		12.0	green
0417367	0	29896	0.0		green
0417372	0	36241	0.0	0.0	green
0417373	0	9055		0.0	green
0417435	0	24156	0.0		green
0417442	12	15715		12.0	green
0417615	12	7855		12.0	green
0417625	12	7883		12.0	green
0417731	12	13049		12.0	green
0417737	6	35367		6.0	green
0420404	12	8014		12.0	green
0420432	12	4828		12.0	green
0420510	12	12824		12.0	green
0420544	12	11247		12.0	green
0421030	0	24272	0.0	12.0	green
0421041	0	1666		0.0	green
0421110	0	32234	0.0	12.0	green
0421406	12	10763		12.0	green
0421510	12	17160		12.0	green
0421520	12	11753		12.0	green
0421737	0	9889		0.0	green
0423161	12	8072		12.0	green
0423204	12	10846		12.0	green
0423221	12	4851		12.0	green
0423506	12	2455		12.0	green
0424767	12	4755		12.0	green
0425076	12	140		12.0	green
0425123	12	11885		12.0	green
0425124	12	11886		12.0	green
0425743	0	1614		0.0	green
0425746	12	10309		12.0	green
0425754	12	19503	12.0		green
0426720	12	24256		12.0	green
0427461	12	33274		12.0	green
0430303	0	23902		0.0	green
0430463	12	4813		12.0	green
0430773	12	15499		12.0	green
0431155	12	10732		12.0	green
0432520	0	1667		0.0	green
0432557	0	32212	0.0	12.0	green
0433604	12	7089		12.0	green
0435062	12	8167		12.0	green
100883319	12	15534		12.0	green
100883360	0	8988		0.0	green
100883369	0	3881	12.0	0.0	green
100883395	12	11168		12.0	green
100883416	12	5144		12.0	green
100883417	0	3231	0.0	0.0	green
100883432	12	14594		12.0	green
100883448	0	31957	0.0		green
100883450	12	2490		12.0	green
100883501	12	1391		12.0	green
100883503	0	11646		0.0	green
100883508	12	16582		12.0	green
100883537	12	11277		12.0	green
100883581	0	11607	0.0		green
100883596	12	11852		12.0	green
100883603	6	1640		6.0	green
100883604	0	9179	0.0	0.0	green
100883611	12	7632		12.0	green
100883645	12	2469		12.0	green
100883647	0	28204	0.0	0.0	green
100883649	12	1341		12.0	green
100883685	12	18270		12.0	green
100883688	12	11907		12.0	green
100883692	12	878		12.0	green
100883818	12	3660		12.0	green
100884139	12	13822		12.0	green
100885136	12	13225		12.0	green
100885154	12	17750		12.0	green
100885357	12	14593		12.0	green
100886002	12	6938		12.0	green
100886162	0	13721	0.0	0.0	green
100886202	12	3556		12.0	green
100886238	12	16207		12.0	green
100886622	0	31009	0.0	0.0	green
100886721	12	3622		12.0	green
100886823	6	15207		6.0	green
100887374	12	16129		12.0	green
100887377	12	15928		12.0	green
100887391	0	8834	0.0	12.0	green
100887419	0	8841	0.0	12.0	green
100887420	12	1381		12.0	green
100887452	0	30134	0.0		green
100887595	12	27330		12.0	green
100888004	12	4748		12.0	green
100888160	12	18031		12.0	green
100888201	12	16202		12.0	green
100888334	12	5505		12.0	green
100888552	0	10183	0.0		green
100888554	12	15259		12.0	green
100888704	12	7966		12.0	green
100888706	12	3647		12.0	green
100888751	0	8930	0.0	12.0	green
100888796	0	8721	0.0	12.0	green
100888800	12	13782		12.0	green
100888896	12	11179		12.0	green
100888899	0	148		0.0	green
100888960	12	11193		12.0	green
100888967	12	11189		12.0	green
100888969	12	11188		12.0	green
100888970	12	11195		12.0	green
100888977	12	14552		12.0	green
100888982	12	11185		12.0	green
100889025	12	7513		12.0	green
100889084	0	154		0.0	green
100889186	12	12931		12.0	green
100890099	12	35335		12.0	green
100890393	12	7793		12.0	green
100890575	0	1644		0.0	green
100890578	0	9555		0.0	green
100890581	12	4005		12.0	green
100890606	12	4808		12.0	green
100890607	24	3747		24.0	green
100890609	0	9180		0.0	green
100891853	12	41821		12.0	green
100891857	12	15921		12.0	green
100892005	0	8818	0.0	12.0	green
100892086	0	9396		0.0	green
100892202	12	1104		12.0	green
100892712	12	16140		12.0	green
100892832	12	5902		12.0	green
100892849	12	7768		12.0	green
100892857	12	41486		12.0	green
100892858	12	28949		12.0	green
100893225	12	20474		12.0	green
100893237	12	41575		12.0	green
100893243	12	14125		12.0	green
100893366	12	16408		12.0	green
100893612	12	10326		12.0	green
100894201	0	16011	0.0	12.0	green
100894724	12	17447		12.0	green
100895290	12	18248		12.0	green
100895309	12	27899		12.0	green
100896531	12	18793		12.0	green
100896915	0	31021		0.0	green
100897327	24	244		24.0	green
100897329	0	22303	0.0	0.0	green
100897346	12	887		12.0	green
100897350	0	12307	0.0	0.0	green
100897390	0	2164	0.0	0.0	green
100897392	12	13974		12.0	green
100897394	12	7113		12.0	green
100897395	12	7699		12.0	green
100897685	12	11170		12.0	green
100898209	12	25428		12.0	green
100898211	12	16206		12.0	green
100898657	12	14183		12.0	green
100898731	12	20471		12.0	green
100898738	12	6161		12.0	green
100898744	12	6939		12.0	green
100898759	12	12947		12.0	green
100898849	0	12594	0.0	0.0	green
100898941	12	16537		12.0	green
100899600	0	14638		0.0	green
100900921	12	3651		12.0	green
100900943	12	11199		12.0	green
100900946	12	15761		12.0	green
100901141	0	8861	0.0	12.0	green
100901183	0	1312		0.0	green
100901225	12	7390		12.0	green
100901226	12	23789		12.0	green
100901227	12	7392		12.0	green
100901228	12	7393		12.0	green
100901229	12	7394		12.0	green
100901230	12	7395		12.0	green
100901315	12	4980		12.0	green
100901316	0	9419		0.0	green
100901990	12	7396		12.0	green
100909185	12	15949		12.0	green
100909359	12	15527		12.0	green
100909380	0	35707		0.0	green
100909394	12	10729		12.0	green
100909407	12	18416		12.0	green
100909747	0	7931	0.0		green
100911021	0	8707	0.0	12.0	green
100911346	0	11678	0.0		green
100911591	12	7696		12.0	green
100912837	12	22797		12.0	green
100913944	12	7389		12.0	green
100927353	0	2486	0.0	0.0	green
100927567	12	963		12.0	green
100929017	12	16490		12.0	green
100930043	12	16123		12.0	green
100931242	12	18810		12.0	green
100931790	12	11187		12.0	green
100931981	6	8944		6.0	green
100935741	12	7615		12.0	green
100936348	0	8435	0.0	0.0	green
100936353	0	16048	0.0	0.0	green
100936359	0	8754	0.0	12.0	green
100937360	12	1459		12.0	green
100939340	12	11906		12.0	green
100939343	12	7991		12.0	green
100939345	12	2494		12.0	green
100939725	6	1580		6.0	green
100939812	0	12248		0.0	green
100940059	0	9430		0.0	green
100940513	12	12904		12.0	green
100940562	0	16429	0.0	0.0	green
100940588	12	16469		12.0	green
100940729	0	25317		0.0	green
100941354	0	1652		0.0	green
100942132	0	1622	0.0	0.0	green
100953417	6	24207		6.0	green
100953583	12	12808		12.0	green
100953980	0	30707	0.0	0.0	green
100954211	12	1588		12.0	green
100954653	0	8903	0.0	12.0	green
100954728	12	16448		12.0	green
100954790	12	28234		12.0	green
100954969	0	7107	0.0	0.0	green
100955036	12	8126		12.0	green
100955049	12	12988		12.0	green
100955338	12	1405		12.0	green
100955807	12	2541		12.0	green
100956087	6	7593		6.0	green
100956211	0	12870	0.0	0.0	green
100956422	12	15826		12.0	green
100956435	0	3413		0.0	green
100956805	12	3675		12.0	green
100957246	0	23806		0.0	green
100957268	0	35666		0.0	green
100958385	12	4764		12.0	green
100959175	12	17012		12.0	green
100959226	12	41247		12.0	green
100959228	0	30721	0.0	0.0	green
100959500	12	27882		12.0	green
100959585	0	1942		0.0	green
100959882	0	32256	0.0	0.0	green
100959949	0	1476		0.0	green
100960111	12	16179		12.0	green
100960529	6	3933		6.0	green
100960530	6	3926		6.0	green
100960531	6	3903		6.0	green
100960533	6	3901		6.0	green
100960562	0	3830	0.0	0.0	green
100960660	0	32565	0.0	0.0	green
100960995	12	6254		12.0	green
100961504	0	8900	0.0	12.0	green
100962779	6	4016		6.0	green
100962781	6	4023		6.0	green
100962782	6	4020		6.0	green
100963049	6	1637		6.0	green
100963089	0	1852		0.0	green
100963688	12	5630		12.0	green
100963739	12	16921		12.0	green
100963897	12	379		12.0	green
100964009	0	19458	0.0	0.0	green
100965121	12	15203		12.0	green
100965194	0	2207	0.0	0.0	green
100965258	0	2428	0.0	0.0	green
100965259	12	13182		12.0	green
100965525	0	1485		0.0	green
100966032	12	23060		12.0	green
100966034	12	23064		12.0	green
100966035	12	23062		12.0	green
100966036	0	11760		0.0	green
100966133	12	11167		12.0	green
100966936	12	9039		12.0	green
100966980	0	2431	0.0	0.0	green
100966981	0	2443	0.0	0.0	green
100966986	0	2448	0.0	0.0	green
100967627	12	12541		12.0	green
100967755	12	18247		12.0	green
100967793	0	2446	0.0	0.0	green
100967799	0	2474	0.0	0.0	green
100967800	0	2411	0.0	0.0	green
100967802	0	2450	0.0	0.0	green
100967804	0	2470	0.0	0.0	green
100967807	0	2473	0.0	0.0	green
100968535	0	2406	0.0	0.0	green
100968539	0	2412	0.0	0.0	green
100968543	0	2422	0.0	0.0	green
100968545	0	2441	0.0	0.0	green
100968547	0	2426	0.0	0.0	green
100968548	0	2429	0.0	0.0	green
100968551	0	2432	0.0	0.0	green
100968553	0	2438	0.0	0.0	green
100968555	0	2447	0.0	0.0	green
100968559	0	2476	0.0	0.0	green
100968562	0	2477	0.0	0.0	green
100968563	0	2478	0.0	0.0	green
100968565	0	2445	0.0	0.0	green
100968567	0	2481	0.0	0.0	green
100968571	0	2483	0.0	0.0	green
100968638	12	4691		12.0	green
100968751	12	17097		12.0	green
100969716	12	13458		12.0	green
100970070	24	470		24.0	green
100970413	12	11364		12.0	green
100970605	12	875		12.0	green
100970666	12	11191		12.0	green
100970884	0	28993	0.0	0.0	green
100971555	12	16722		12.0	green
100971574	0	9866	12.0	0.0	green
100971636	0	11635	0.0	0.0	green
100972232	12	26033		12.0	green
100973394	12	13256		12.0	green
100973405	12	11916		12.0	green
100973416	0	29894	0.0		green
100973463	0	11942		0.0	green
101082834	0	6419	0.0	0.0	green
101083072	6	1409		6.0	green
101083101	12	3216		12.0	green
101083217	12	5588		12.0	green
101083777	0	7039	0.0	0.0	green
101083946	12	13118		12.0	green
101083949	6	24218		6.0	green
101084138	0	16825	0.0	0.0	green
101084156	0	10371		0.0	green
101085384	12	885		12.0	green
101085550	6	6659		6.0	green
101086634	12	3767		12.0	green
101087697	12	6590		12.0	green
101088070	12	7792		12.0	green
101088083	0	150		0.0	green
101088169	0	42868	0.0		green
101088505	12	7870		12.0	green
101088554	12	1778		12.0	green
101088663	0	2409	0.0	0.0	green
101088676	0	2423	0.0	0.0	green
101088677	0	2430	0.0	0.0	green
101088679	0	2434	0.0	0.0	green
101088680	0	2435	0.0	0.0	green
101088682	0	2439	0.0	0.0	green
101088684	0	2451	0.0	0.0	green
101088685	0	2452	0.0	0.0	green
101088690	0	2485	0.0	0.0	green
101089166	12	7574		12.0	green
101089176	0	22455	0.0	0.0	green
101089443	12	6162		12.0	green
101090048	18	16888		18.0	green
101090633	0	2661	0.0	0.0	green
101090848	12	16716		12.0	green
101090931	0	17213	0.0	0.0	green
101091305	12	11860		12.0	green
101092707	12	1888		12.0	green
101092791	0	17518	0.0	0.0	green
101092952	12	3776		12.0	green
101093076	6	3916		6.0	green
101093320	12	8119		12.0	green
