NlmUniqueID	BroadJournalHeading	sherpa_id_x	sherpa_has_oa_path	embargo	sherpa_id_y	embargo_published_version	embargo_accepted_version	sherpa_oa_green	sherpa_id	additional_oa_fee	sherpa_oa_hybrid	DOAJ_Seal	DOAJ
0141053	Hematology	8971.0	yes	0.0	8971.0		0.0	yes	8971.0	yes	hybrid or gold		
0262610	Hematology												
0340734	Gastroenterology												
0340735	Medicine												
0060677	History of Medicine												
7907017	History of Medicine												
0416660	History of Medicine												
0416660	Science												
0370320	Histocytochemistry	377.0	yes	12.0	377.0		12.0	yes	377.0	yes	hybrid or gold		
0061372	Histocytochemistry												
0370321	Neoplasms												
0370321	Radiology												
0421025	Nuclear Medicine												
0421025	Radiology												
0413650	Tropical Medicine												
0037353	Tropical Medicine												
101587903	Medicine											No	yes
0370323	Medicine												
7501997	Internal Medicine												
7502262	Internal Medicine												
0243663	Medicine												
9208249	Medicine												
101241032	History of Medicine											No	yes
8400269	Medicine												
7901042	Medicine											No	yes
14540050R	Medicine												
14540080R	Gastroenterology												
0370324	Medicine												
9713996	Jurisprudence												
7611894	Forensic Sciences												
7611894	Jurisprudence												
0372633	Medicine												
0417611	Medicine												
0417612	Medicine												
0370326	Medicine												
7906803	Medicine	21341.0	yes	0.0	21341.0	0.0	0.0	yes				No	yes
0370330	Medicine												
0370331	Medicine												
9705947	Medicine	39095.0	yes	0.0	39095.0	0.0	0.0	yes				No	yes
9815916	Medicine												
0370333	Microbiology												
7901426	Allergy and Immunology												
7901426	Microbiology												
7901426	Virology												
8400270	Microbiology												
9434021	Allergy and Immunology	2090.0	yes	0.0	2090.0		0.0	yes	2090.0	yes	hybrid or gold		
9434021	Microbiology	2090.0	yes	0.0	2090.0		0.0	yes	2090.0	yes	hybrid or gold		
7610362	Microbiology												
7610360	Microbiology												
7610361	Microbiology												
7600027	Allergy and Immunology												
7600027	Microbiology												
7600027	Virology												
0370334	Anatomy												
0375331	Anatomy												
8307964	Anatomy												
0370335	Anatomy												
9811169	Cardiology												
9811169	Physiology												
1246675	Biology												
1246675	Neurology												
0151000	Neurosurgery	11780.0	yes	12.0	11780.0		12.0	yes	11780.0	yes	hybrid or gold		
100962752	Neurosurgery												
0140560	Neurosurgery												
0247035	Neurology	23430.0	yes	12.0	23430.0		12.0	yes	23430.0	yes	hybrid or gold		
9421556	Neurology												
0247036	Neurology												
0247036	Psychiatry												
7506814	Neurology												
0370336	Neurology	11840.0	yes	12.0	11840.0		12.0	yes	11840.0	yes	hybrid or gold		
0370337	Neurology												
9815355	Neurology												
0412041	Neurology	7403.0	yes	12.0	7403.0		12.0	yes	7403.0	yes	hybrid or gold		
101610673	Neurology	26209.0	yes	0.0	26209.0	0.0	0.0	yes				Yes	yes
0370342	Neurology												
9612501	Neurology	24382.0	yes	6.0	24382.0		6.0	yes	24382.0	yes	hybrid or gold		
9612501	Psychiatry	24382.0	yes	6.0	24382.0		6.0	yes	24382.0	yes	hybrid or gold		
0162324	Neurology												
0147634	Gynecology												
0147634	Obstetrics												
0221541	Gynecology												
0221541	Obstetrics												
0202673	Gynecology												
0202673	Obstetrics												
0370343	Gynecology	6772.0	yes	0.0	6772.0	0.0	0.0	yes					
0370343	Obstetrics	6772.0	yes	0.0	6772.0	0.0	0.0	yes					
0337655	Gynecology												
0337655	Obstetrics												
8610218	Dentistry												
