NlmUniqueID	sherpa_id	additional_oa_fee	oa_status
8909524	12527	yes	hybrid or gold
101285195	11252	yes	hybrid or gold
9104021	1798	yes	hybrid or gold
100887374	16129	yes	hybrid or gold
101675002	31196	yes	hybrid or gold
1262533	36379	yes	hybrid or gold
9208478	16130	yes	hybrid or gold
0370625	3621	yes	hybrid or gold
101472371	16131	yes	hybrid or gold
1303703	11274	yes	hybrid or gold
7911226	3708	yes	hybrid or gold
0403171	12809	yes	hybrid or gold
0370626	11359	yes	hybrid or gold
0372525	19011	yes	hybrid or gold
101507284	1310	yes	hybrid or gold
101088505	7870	yes	hybrid or gold
0372526	1799	yes	hybrid or gold
9205717	41230	yes	hybrid or gold
100897327	244	yes	hybrid or gold
9107378	806	yes	hybrid or gold
8403708	15500	yes	hybrid or gold
8609465	15034	yes	hybrid or gold
7502021	14548	yes	hybrid or gold
8510274	24932	yes	hybrid or gold
101265833	1934	yes	hybrid or gold
8008051	16135	yes	hybrid or gold
8506292	3083	yes	hybrid or gold
100883596	11852	yes	hybrid or gold
8302042	14549	yes	hybrid or gold
101701004	32991	yes	hybrid or gold
100935741	7615	yes	hybrid or gold
100886721	3622	yes	hybrid or gold
7603509	13507	yes	hybrid or gold
9102551	8728	yes	hybrid or gold
9606438	8729	yes	hybrid or gold
8402040	8978	yes	hybrid or gold
8708558	15166	yes	hybrid or gold
101526291	1665	yes	hybrid or gold
101719009	1853	yes	hybrid or gold
101757339	35176	yes	hybrid or gold
101761581	36814	yes	hybrid or gold
101546984	18937	yes	hybrid or gold
101715577	35442	yes	hybrid or gold
101565123	19365	yes	hybrid or gold
101222431	16033	yes	hybrid or gold
101599229	24357	yes	hybrid or gold
8702459	24276	yes	hybrid or gold
7513219	1626	yes	hybrid or gold
0372541	1338	yes	hybrid or gold
0370635	1627	yes	hybrid or gold
7503323	6830	yes	hybrid or gold
8105533	18404	yes	hybrid or gold
9815827	12196	yes	hybrid or gold
0004041	7617	yes	hybrid or gold
8308022	18406	yes	hybrid or gold
0370636	18407	yes	hybrid or gold
0372544	133	yes	hybrid or gold
9605409	18408	yes	hybrid or gold
0144554	2199	yes	hybrid or gold
101257109	12199	yes	hybrid or gold
0004047	18410	yes	hybrid or gold
8800054	809	yes	hybrid or gold
9212059	12202	yes	hybrid or gold
0372547	1428	yes	hybrid or gold
0421041	1666	yes	hybrid or gold
7502536	6832	yes	hybrid or gold
0342367	57	yes	hybrid or gold
0373124	18405	yes	hybrid or gold
0373125	13754	yes	hybrid or gold
8105534	18409	yes	hybrid or gold
0373126	7620	yes	hybrid or gold
0432520	1667	yes	hybrid or gold
0372553	3711	yes	hybrid or gold
0376542	247	yes	hybrid or gold
15740290R	5019	yes	hybrid or gold
101137600	16738	yes	hybrid or gold
0372537	1339	yes	hybrid or gold
0151620	8979	yes	hybrid or gold
8218014	12475	yes	hybrid or gold
101550313	19579	yes	hybrid or gold
101300405	16391	yes	hybrid or gold
8710358	808	yes	hybrid or gold
7506220	12477	yes	hybrid or gold
101282001	7872	yes	hybrid or gold
8903034	16392	yes	hybrid or gold
9716507	16393	yes	hybrid or gold
101615124	35734	yes	hybrid or gold
100888201	16202	yes	hybrid or gold
8111104	16203	yes	hybrid or gold
8801277	1800	yes	hybrid or gold
101260777	19580	yes	hybrid or gold
100912837	22797	yes	hybrid or gold
101528229	16032	yes	hybrid or gold
0072416	8534	yes	hybrid or gold
2984715R	1432	yes	hybrid or gold
0046021	11836	yes	hybrid or gold
0141233	8567	yes	hybrid or gold
0401404	11842	yes	hybrid or gold
101181368	2130	yes	hybrid or gold
0370647	6833	yes	hybrid or gold
7905481	13386	yes	hybrid or gold
9208482	1539	yes	hybrid or gold
8708560	1542	yes	hybrid or gold
8510280	23831	yes	hybrid or gold
0372707	10131	yes	hybrid or gold
0415227	28399	yes	hybrid or gold
0406021	14979	yes	hybrid or gold
0045312	20590	yes	hybrid or gold
0372712	10133	yes	hybrid or gold
7904187	14331	yes	hybrid or gold
0372714	14334	yes	hybrid or gold
101320224	7627	yes	hybrid or gold
0374236	6835	yes	hybrid or gold
101256509	1802	yes	hybrid or gold
9100846	16204	yes	hybrid or gold
101130617	6579	yes	hybrid or gold
7806519	7879	yes	hybrid or gold
101499453	6836	yes	hybrid or gold
101561693	19762	yes	hybrid or gold
9200608	14556	yes	hybrid or gold
9432230	24204	yes	hybrid or gold
101539150	18463	yes	hybrid or gold
8605732	7880	yes	hybrid or gold
101614637	29487	yes	hybrid or gold
8307154	775	yes	hybrid or gold
7600053	12488	yes	hybrid or gold
8605731	15794	yes	hybrid or gold
7805358	8730	yes	hybrid or gold
101479409	14557	yes	hybrid or gold
2984705R	14558	yes	hybrid or gold
7502030	4735	yes	hybrid or gold
101684827	31031	yes	hybrid or gold
8307156	16540	yes	hybrid or gold
0043535	16740	yes	hybrid or gold
8008055	249	yes	hybrid or gold
101549998	4736	yes	hybrid or gold
8300331	4737	yes	hybrid or gold
9304686	8731	yes	hybrid or gold
9200019	1543	yes	hybrid or gold
1266406	8981	yes	hybrid or gold
8712220	16402	yes	hybrid or gold
101531846	16404	yes	hybrid or gold
101266881	1971	yes	hybrid or gold
101269160	32039	yes	hybrid or gold
101522043	16405	yes	hybrid or gold
8003538	16401	yes	hybrid or gold
0077427	321	yes	hybrid or gold
101238551	12588	yes	hybrid or gold
101135818	15647	yes	hybrid or gold
0103374	8982	yes	hybrid or gold
100884139	13822	yes	hybrid or gold
0413066	6580	yes	hybrid or gold
9701934	12979	yes	hybrid or gold
8305874	3714	yes	hybrid or gold
9307129	11154	yes	hybrid or gold
8506639	13015	yes	hybrid or gold
101676030	42514	yes	hybrid or gold
101137841	12088	yes	hybrid or gold
9437445	24236	yes	hybrid or gold
101302316	6581	yes	hybrid or gold
1246405	15130	yes	hybrid or gold
101233170	6582	yes	hybrid or gold
101242872	24238	yes	hybrid or gold
9705402	15206	yes	hybrid or gold
8200709	13016	yes	hybrid or gold
101552938	28270	yes	hybrid or gold
101528176	153	yes	hybrid or gold
9425763	24237	yes	hybrid or gold
101311472	6583	yes	hybrid or gold
9610925	15204	yes	hybrid or gold
100965121	15203	yes	hybrid or gold
0417625	7883	yes	hybrid or gold
101775611	41208	yes	hybrid or gold
100883360	8988	yes	hybrid or gold
101636244	35966	yes	hybrid or gold
101269163	3888	yes	hybrid or gold
9110718	250	yes	hybrid or gold
101089443	6162	yes	hybrid or gold
9100851	8990	yes	hybrid or gold
100971574	9866	yes	hybrid or gold
101294643	1526	yes	hybrid or gold
101197449	3796	yes	hybrid or gold
101262549	11854	yes	hybrid or gold
9610838	18003	yes	hybrid or gold
0067206	12811	yes	hybrid or gold
8807448	7769	yes	hybrid or gold
2985134R	7770	yes	hybrid or gold
8217190	251	yes	hybrid or gold
0335405	18005	yes	hybrid or gold
100937360	1459	yes	hybrid or gold
9513783	1518	yes	hybrid or gold
101259013	1533	yes	hybrid or gold
0144731	8991	yes	hybrid or gold
100954211	1588	yes	hybrid or gold
101580948	21324	yes	hybrid or gold
101319536	1587	yes	hybrid or gold
0231335	11088	yes	hybrid or gold
101142157	7628	yes	hybrid or gold
9313451	4738	yes	hybrid or gold
7602632	2459	yes	hybrid or gold
0372725	6839	yes	hybrid or gold
9602869	6451	yes	hybrid or gold
9512515	1201	yes	hybrid or gold
101542497	1471	yes	hybrid or gold
1275332	15772	yes	hybrid or gold
8503227	7884	yes	hybrid or gold
101504416	12589	yes	hybrid or gold
9112559	13722	yes	hybrid or gold
8914261	13823	yes	hybrid or gold
2985138R	7886	yes	hybrid or gold
9313452	16474	yes	hybrid or gold
101253019	985	yes	hybrid or gold
8501362	810	yes	hybrid or gold
101474365	8734	yes	hybrid or gold
101479935	4076	yes	hybrid or gold
101489148	8738	yes	hybrid or gold
101714113	35077	yes	hybrid or gold
0147763	8733	yes	hybrid or gold
100893237	41575	yes	hybrid or gold
9881057	6841	yes	hybrid or gold
9102566	31202	yes	hybrid or gold
9810959	777	yes	hybrid or gold
8809128	13824	yes	hybrid or gold
9106549	7890	yes	hybrid or gold
100898731	20471	yes	hybrid or gold
9502500	14559	yes	hybrid or gold
9421549	207	yes	hybrid or gold
9806306	36384	yes	hybrid or gold
7907612	4750	yes	hybrid or gold
