NlmUniqueID	sherpa_id	sherpa_has_oa_path
0364535	14336	yes
9211547	10922	yes
7911005	8939	yes
7502510	1009	yes
8309942	4725	yes
7910653	317	yes
8108948	8940	yes
0421030	24272	yes
9309609	8941	yes
9602338	6212	yes
8701680	10305	yes
9503023	13505	yes
7610369	4669	yes
9008229	198	yes
8915029	4671	yes
0370475	6578	yes
8803676	1621	yes
8101110	4672	yes
101492916	11086	yes
7509572	38516	yes
9613960	14665	yes
101235741	4673	yes
101235742	4674	yes
101235745	4675	yes
9300756	6420	yes
0370506	8943	yes
101287723	6421	yes
8109361	8972	yes
0372646	8713	yes
7705978	11539	yes
0400640	29535	yes
0370502	10325	yes
8405212	10703	yes
0372650	43226	yes
8803677	8714	yes
100901225	7390	yes
100901226	23789	yes
100901227	7392	yes
100901228	7393	yes
100901229	7394	yes
100901230	7395	yes
100901990	7396	yes
8108949	4690	yes
0370512	9895	yes
0372630	8298	yes
0110672	41888	yes
1254074	10303	yes
8912860	2496	yes
8917225	14956	yes
9421642	14955	yes
9114726	14535	yes
7609541	9502	yes
7707904	8942	yes
9441347	8715	yes
100968638	4691	yes
0370507	10299	yes
0375011	15055	yes
2984688R	14504	yes
0370521	3404	yes
101649265	36998	yes
0364220	15697	yes
14730560R	1019	yes
9200312	17056	yes
9433802	761	yes
101765626	35911	yes
101652401	31870	yes
0342017	14328	yes
0370524	7597	yes
101134327	7407	yes
0370536	7775	yes
101519733	17997	yes
8511078	28304	yes
0372652	17995	yes
9109478	10758	yes
7704218	2454	yes
101292775	13916	yes
101392205	7598	yes
101154140	13384	yes
0423506	2455	yes
101585129	23015	yes
1310650	8716	yes
101273663	4728	yes
1300217	8717	yes
0370543	1320	yes
9814575	16374	yes
0203706	201	yes
9011409	4930	yes
9814573	7409	yes
8605704	3615	yes
101083072	1409	yes
100956805	3675	yes
101303270	1535	yes
101231417	1978	yes
101600811	14957	yes
8510246	13071	yes
2984690R	41835	yes
0361512	15673	yes
0372347	310	yes
9815987	1979	yes
0324055	11939	yes
101152152	21679	yes
101623278	25923	yes
7702013	10412	yes
8406611	15674	yes
101167762	13522	yes
101620864	35135	yes
9107334	7835	yes
0404024	763	yes
0416661	83	yes
7708044	24910	yes
0372351	10308	yes
8906388	764	yes
7506858	7600	yes
7707449	7599	yes
9607443	14539	yes
8913398	13072	yes
8105511	8976	yes
9007735	314	yes
0407300	41638	yes
101585484	38132	yes
8106337	10413	yes
2985176R	10414	yes
7805336	32795	yes
7506860	14929	yes
101536246	11681	yes
0372355	1663	yes
8507355	1980	yes
0372361	4933	yes
0372354	8719	yes
9420840	15678	yes
9703158	42677	yes
8703941	10584	yes
101698454	36551	yes
101508602	11604	yes
101614024	27642	yes
2985150R	11606	yes
9600627	11665	yes
101574034	11666	yes
101235325	11667	yes
0372367	11672	yes
101561951	11676	yes
0117605	11677	yes
100911346	11678	yes
8309206	11679	yes
2985151R	11688	yes
0372370	11689	yes
7804039	11690	yes
8209988	11692	yes
101275111	11693	yes
7607088	11694	yes
15040080R	11695	yes
0370600	11696	yes
0372373	11697	yes
