NlmUniqueID	BroadJournalHeading	
0337243	Biochemistry	
0337243	Molecular Biology	
0121103	Biology	
0121103	Medicine	
14630160R	Dentistry	
9001271	Nutritional Sciences	
0370423	Nutritional Sciences	
0221542	Nutritional Sciences	
0370421	Genetics, Medical	
100971443	Geriatrics	
0436264	Geriatrics	
101090746	Health Services	
8206631	Health Services Research	
9612021	Education	
9612021	Public Health	
101581613	Biomedical Engineering	
101581613	Technology	
0370424	Chemistry	
1256347	Genetics, Medical	
8601071	Allergy and Immunology	
8601071	Neoplasms	
0370425	Allergy and Immunology	
7909203	Biochemistry	
0370427	Internal Medicine	
9918523075306676	Nephrology	
100960029	Behavioral Sciences	
100960029	Social Sciences	
0000262	Biochemistry	
0370431	Biology	
9885358	Biophysics	
9885358	Chemistry	
101276222	Medicine	
0370430	Metabolism	
0117147	Microbiology	
9813115	Complementary Therapies	
7611906	Anatomy	
8000285	Cardiology	
101125644	Perinatology	
0311622	Nephrology	
101571545	Neurology	
9108376	Allergy and Immunology	
0367524	Neurology	
101549550	Nursing	
9892010	Nursing	
101540874	Nutritional Sciences	
7802764	Nutritional Sciences	
8213022	General Surgery	
8213022	Ophthalmology	
0263212	Ophthalmology	
0000261	Dentistry	
0242534	Otolaryngology	
0370435	Parasitology	
7511090	Pathology	
0370436	Pediatrics	
8803391	Communicable Diseases	
8803391	Pediatrics	
9104803	Nephrology	
0040024	Pharmacy	
9015397	Pharmacology	
0236563	Pharmacology	
0237113	Drug Therapy	
0237113	Pharmacology	
100913944	Education	
100913944	Physiology	
7513751	Reproductive Medicine	
9515177	Nursing	
9442478	Nursing	
8211444	Endocrinology	
7610366	Biochemistry	
0116732	Biochemistry	
101497281	Biochemistry	
101497281	Biology	
0337407	Biology	
0337407	Psychology	
0101303	Psychiatry	
9433799	Nephrology	
7513188	Reproductive Medicine	
101697329	Allergy and Immunology	
101697329	Pulmonary Medicine	
101734172	Rheumatology	
0370412	Science	
101664569	Biomedical Engineering	
8807408	Biochemistry	
8807408	Metabolism	
7504908	Endocrinology	
7504908	Reproductive Medicine	
7908298	Traumatology	
100911021	Nursing	
0410245	Dentistry	
9316462	Aerospace Medicine	
9316462	Biology	
9878935	Aerospace Medicine	
1251746	Biochemistry	
1251746	Pharmacology	
0045335	General Surgery	
7501064	Neurosurgery	
8611864	Therapeutics	
0347575	Pulmonary Medicine	
9714525	Veterinary Medicine	
0216704	Veterinary Medicine	
0216540	Veterinary Medicine	
0370441	Virology	
9432971	Nursing	
101590593	Traumatology	
8217118	Toxicology	
9109474	Toxicology	
0373063	Aerospace Medicine	
100971388	Aerospace Medicine	
7501696	Aerospace Medicine	
101654770	Aerospace Medicine	
9707469	General Surgery	
7701756	General Surgery	
8813229	Dentistry	
101149451	Health Services	
101149451	Medicine	
101146510	Acquired Immunodeficiency Syndrome	
9439497	Medicine	
7801013	Medicine	
7801013	Tropical Medicine	
7611908	Medicine	
101255062	General Surgery	
101255062	Pediatrics	
101520860	Primary Health Care	
7802295	Psychiatry	
101465030	Psychiatry	
9712263	Reproductive Medicine	
101232990	Complementary Therapies	
101250497	Geriatrics	
0375655	Geriatrics	
101128963	Geriatrics	
0213341	Pharmacology	
7801014	Pharmacology	
7502265	Behavioral Sciences	
101508617	Geriatrics	
9102503	Geriatrics	
101130839	Cell Biology	
101132995	Geriatrics	
7910857	Geriatrics	
9808210	Geriatrics	
9705773	Geriatrics	
9705773	Psychology	
101128131	Geriatrics	
0321470	Nursing	
0121575	Psychophysiology	
9426197	Neurology	
9426197	Psychophysiology	
0370452	Biochemistry	
0370452	Biotechnology	
101223105	Health Services	
2985175R	Nursing	
101138795	Health Services	
101138795	Hospitals	
9424852	Neoplasms	
7501066	Dentistry	
9206301	Dentistry	
8710219	Acquired Immunodeficiency Syndrome	
101129445	Acquired Immunodeficiency Syndrome	
101129445	Public Health	
9014916	Acquired Immunodeficiency Syndrome	
8608900	Acquired Immunodeficiency Syndrome	
9712133	Acquired Immunodeficiency Syndrome	
9712133	Behavioral Sciences	
8915313	Acquired Immunodeficiency Syndrome	
9000367	Acquired Immunodeficiency Syndrome	
8914235	Acquired Immunodeficiency Syndrome	
9002873	Acquired Immunodeficiency Syndrome	
9002873	Education	
8812089	Acquired Immunodeficiency Syndrome	
9508188	Acquired Immunodeficiency Syndrome	
9508188	Jurisprudence	
8710781	Acquired Immunodeficiency Syndrome	
9607225	Acquired Immunodeficiency Syndrome	
9607225	Sexually Transmitted Diseases	
8703425	Acquired Immunodeficiency Syndrome	
8703425	Jurisprudence	
8703425	Public Health	
8708548	Acquired Immunodeficiency Syndrome	
8708548	Public Health	
9206753	Acquired Immunodeficiency Syndrome	
8310361	Acquired Immunodeficiency Syndrome	
8310361	Sexually Transmitted Diseases	
8709376	Acquired Immunodeficiency Syndrome	
101237921	Acquired Immunodeficiency Syndrome	
101134876	Acquired Immunodeficiency Syndrome	
8809835	Acquired Immunodeficiency Syndrome	
101146781	Environmental Health	
101146781	Occupational Medicine	
100939625	Occupational Medicine	
9312325	Aerospace Medicine	
9312325	Emergency Medicine	
9433394	Environmental Health	
0101051	Medicine	
8003708	Neurology	
8003708	Radiology	
101631047	Ethics	
101631047	Medicine	
101518076	Ethics	
101518076	Neurology	
7708173	Radiology	
0234014	History of Medicine	
0234014	Social Sciences	
0421403	Geriatrics	
0177222	Otolaryngology	
0267464	General Surgery	
7705398	General Surgery	
7705398	Orthopedics	
9102962	Diagnostic Imaging	
0421405	Traumatology	
0421406	Urology	
0370456	Gynecology	
0370456	Obstetrics	
0370455	Gynecology	
0370455	Obstetrics	
0376521	Medicine	
8310343	Medicine	
14720150R	Nursing	
0370457	Medicine	
0042336	Nursing	
9892402	Jurisprudence	
0044637	Ophthalmology	
8502311	Substance-Related Disorders	
8310684	Substance-Related Disorders	
8804836	Substance-Related Disorders	
7707242	Substance-Related Disorders	
8601074	Substance-Related Disorders	
0365245	Substance-Related Disorders	
101594475	Substance-Related Disorders	
100900708	Substance-Related Disorders	
0140326	Allergy and Immunology	
8707234	Drug Therapy	
8707234	Gastroenterology	
8707234	Pharmacology	
0064233	Gastroenterology	
0064233	Nutritional Sciences	
9812842	Biology	
9812842	Chemistry	
0313664	Allergy and Immunology	
0313664	Pulmonary Medicine	
0370461	Allergy and Immunology	
0370461	Pulmonary Medicine	
0314702	Allergy and Immunology	
0245775	Allergy and Immunology	
0370073	Allergy and Immunology	
9616296	Allergy and Immunology	
7804028	Allergy and Immunology	
9603640	Allergy and Immunology	
9603640	Pulmonary Medicine	
8902396	Allergy and Immunology	
14730200R	Dentistry	
14730480R	Dentistry	
100883278	Nursing	
1307126	Geriatrics	
1307126	Physiology	
8110074	Laboratory Animal Science	
9705340	Complementary Therapies	
9502013	Complementary Therapies	
100953980	Laboratory Animal Science	
7706527	Nursing	
0042365	Nursing	
7604908	Dentistry	
21430160R	Dentistry	
7705977	Nursing	
8504267	Nursing	
8704771	Neurology	
8704771	Psychiatry	
101231978	Neurology	
101231978	Psychiatry	
101511643	Neurology	
0414670	Audiology	
14740240R	History of Medicine	
7501070	Occupational Medicine	
8804377	Biotechnology	
8903666	Clinical Laboratory Techniques	
0135256	Physical and Rehabilitation Medicine	
9878837	Health Services	
9878837	Public Health	
14810500R	Health Services	
1272646	Primary Health Care	
1273362	Primary Health Care	
101156064	Cardiology	
101156064	Hospitals	
0370465	Cardiology	
8801250	History of Medicine	
8801250	Technology	
01210290R	History of Medicine	
0370466	Psychiatry	
0371160	Occupational Medicine	
8909511	Psychiatry	
100970957	Psychology	
9314637	Psychiatry	
0367526	Complementary Therapies	
9208821	Substance-Related Disorders	
101082834	Neurology	
0376312	Anatomy	
9504685	Anesthesiology	
9114917	Audiology	
100898738	Ethics	
101770171	Anthropology	
0370467	Botany	
8706659	Cardiology	
8706659	Diagnostic Imaging	
0207277	Cardiology	
100967755	Cardiology	
100967755	Drug Therapy	
100967755	Vascular Diseases	
8702438	Cardiology	
8702438	Pathology	
101489566	Medicine	
7901431	Complementary Therapies	
0354717	Medicine	
100895290	Dermatology	
0100626	Psychology	
0100626	Therapeutics	
0376027	Nutritional Sciences	
8207754	Neoplasms	
0370470	Pathology	
0364535	Psychology	
9100472	Dermatology	
9211547	Critical Care	
9211547	Nursing	
8806701	Dentistry	
7911005	Dermatology	
7911005	Pathology	
0404011	Gastroenterology	
0370471	Pediatrics	
101291100	Disaster Medicine	
7502510	Substance-Related Disorders	
9607038	Neurology	
8309942	Emergency Medicine	
7910653	Epidemiology	
8108948	Forensic Sciences	
8108948	Jurisprudence	
8108948	Pathology	
0421030	Gastroenterology	
9215283	Cardiology	
9215283	Geriatrics	
101190325	Drug Therapy	
101190325	Geriatrics	
9309609	Geriatrics	
9309609	Psychiatry	
9602338	Behavioral Sciences	
8701680	Public Health	
9503023	Hospitals	
9503023	Pharmacy	
7610369	Hematology	
8502312	Nursing	
8502312	Palliative Care	
9008229	Nursing	
9008229	Palliative Care	
0370474	Hospitals	
0370474	Pharmacy	
8915029	Biology	
0370475	Genetics, Medical	
8803676	Vascular Diseases	
8101110	Occupational Medicine	
8004854	Communicable Diseases	
101492916	Psychiatry	
8110075	Nephrology	
8804841	General Surgery	
8804841	Orthopedics	
7509572	Jurisprudence	
7509572	Medicine	
9613960	Health Services	
0267200	Medicine	
0061651	Medicine	
7708900	Genetics, Medical	
101235741	Genetics, Medical	
101235742	Genetics, Medical	
101235742	Neurology	
101235742	Psychiatry	
101235745	Genetics, Medical	
8706133	Genetics, Medical	
9300756	Health Services	
0370506	Medicine	
0370505	Technology	
101287723	Health Services	
101287723	Public Health	
0372647	Psychiatry	
8800463	Psychiatry	
8109361	Nephrology	
0372646	Nursing	
0370476	Gynecology	
0370476	Obstetrics	
101746609	Gynecology	
101746609	Obstetrics	
7705978	Physical and Rehabilitation Medicine	
0370500	Ophthalmology	
0420462	Ophthalmology	
0417614	Ophthalmology	
0370501	Orthodontics	
8610224	Dentistry	
8610224	Orthodontics	
0134543	Orthopedics	
9502918	Orthopedics	
7611912	Orthopedics	
0400640	Psychiatry	
0400640	Psychology	
7909513	Otolaryngology	
8000029	Otolaryngology	
0370502	Pathology	
7908071	Hematology	
7908071	Neoplasms	
7908071	Pediatrics	
8405212	Perinatology	
0372650	Education	
0372650	Pharmacy	
0416354	Pharmacy	
100967746	Genetics, Medical	
100967746	Pharmacology	
0400654	Anthropology	
0370503	Physical and Rehabilitation Medicine	
8803677	Physical and Rehabilitation Medicine	
0370511	Physiology	
100901225	Cell Biology	
100901225	Physiology	
100901226	Endocrinology	
100901226	Metabolism	
100901226	Physiology	
100901227	Gastroenterology	
100901227	Physiology	
100901228	Cardiology	
100901228	Physiology	
8610225	Nuclear Medicine	
8610225	Radiology	
100901229	Cell Biology	
100901229	Molecular Biology	
100901229	Physiology	
100901229	Pulmonary Medicine	
100901230	Physiology	
100901990	Nephrology	
100901990	Physiology	
0001470	Nursing	
8704773	Public Health	
8108949	Zoology	
0370472	Gastroenterology	
7910860	Gastroenterology	
7910860	General Surgery	
0370512	Psychiatry	
0372630	Psychiatry	
0370513	Psychology	
0110672	Psychiatry	
0110672	Therapeutics	
1254074	Public Health	
1254075	Public Health	
8912860	Allergy and Immunology	
8912860	Reproductive Medicine	
8111069	Allergy and Immunology	
8111069	Reproductive Medicine	
8501543	Allergy and Immunology	
8501543	Microbiology	
8501543	Reproductive Medicine	
8917225	Cell Biology	
8917225	Molecular Biology	
9421642	Critical Care	
9421642	Pulmonary Medicine	
101132974	Pulmonary Medicine	
8807268	Otolaryngology	
101490775	Allergy and Immunology	
101490775	Otolaryngology	
7605534	Nuclear Medicine	
7605534	Radiology	
9114726	Speech-Language Pathology	
7609541	Sports Medicine	
0370473	General Surgery	
7707904	General Surgery	
7707904	Pathology	
9441347	Therapeutics	
100968638	Transplantation	
0370507	Tropical Medicine	
0375011	Veterinary Medicine	
0404016	Nursing	
0404016	Pulmonary Medicine	
