NlmUniqueID	Title	MedlineTA	PublicationInfo/Country	PublicationInfo/Place	PublicationInfo/Publisher	PublicationInfo/PublicationFirstYear	PublicationInfo/PublicationEndYear	PublicationInfo/Frequency	ISSN[@IssnType="Electronic"]	ISSN[@IssnType="Print"]	ISSNLinking	Language	TitleContinuationYN	IndexingStartDate	CurrentlyIndexedYN	IndexOnlineYN	IndexingSubset	IndexingSelectedURL	ReportedMedlineYN	
9100813	Accountability in research	Account Res	United States	London	Informa Healthcare	1989		Four no. a year	1545-5815	0898-9621	0898-9621	eng	N	2006	Y	Y	IM	http://www.tandfonline.com/loi/gacr20	Y	
9104824	ACP journal club	ACP J Club	United States	Philadelphia, PA	American College of Physicians-American Society of Internal Medicine	1991	2008	Bimonthly	1539-8560	1056-8751	1056-8751	eng	N		N	Y	IM		Y	
0373054	Acquisitions médicales récentes	Acquis Med Recent	France	Paris	Expansion Scientifique Francaise	1946	1981	Annual		0075-4463	0075-4463	fre	N		N	N	IM		Y	
0137764	ACRH [reports]. U.S. Atomic Energy Commission	ACRH Rep	United States	Chicago Il	Argonne Cancer Research Hospital	1954	19uu					eng	N		N	N	IM		Y	
9877747	Across the board	Across Board (NY)	United States	New York	The Conference Board, inc.	1976		10 no. a year (combined issues July/Aug. and Nov./Dec.)		0147-1554	0147-1554	eng	N		N	N	H		Y	
101504991	ACS applied materials & interfaces	ACS Appl Mater Interfaces	United States	Washington, D.C.	American Chemical Society	2009		Monthly	1944-8252	1944-8244	1944-8244	eng	N	2009	Y	Y	IM	http://pubs.acs.org/loi/aamick	Y	
101654670	ACS biomaterials science & engineering	ACS Biomater Sci Eng	United States	Washington, DC	American Chemical Society	2015		Monthly	2373-9878		2373-9878	eng	N	2020	Y	Y	IM	https://pubs.acs.org/journal/abseba	Y	
101282906	ACS chemical biology	ACS Chem Biol	United States	Washington, D.C.	American Chemical Society	2006		Monthly	1554-8937	1554-8929	1554-8929	eng	N	2006	Y	Y	IM	http://pubs.acs.org/journals/acbcct/index.html	Y	
101525337	ACS chemical neuroscience	ACS Chem Neurosci	United States	Washington, D.C.	American Chemical Society	2010		Monthly	1948-7193		1948-7193	eng	N	2010	Y	Y	IM	http://pubs.acs.org/journal/acncdm	Y	
101540531	ACS combinatorial science	ACS Comb Sci	United States	Washington, DC	American Chemical Society	2011	2020	Monthly,	2156-8944	2156-8952	2156-8944	eng	Y		N	Y	IM	http://pubs.acs.org/journals/jcchff/index.html	Y	
101654580	ACS infectious diseases	ACS Infect Dis	United States	Washington, DC	ACS Publications	2015		Monthly	2373-8227		2373-8227	eng	N	2016	Y	Y	IM	http://pubs.acs.org/journal/aidcbc	Y	
101313589	ACS nano	ACS Nano	United States	Washington D.C.	American Chemical Society	2007		Monthly	1936-086X	1936-0851	1936-0851	eng	N	2007	Y	Y	IM	http://pubs.acs.org/journals/ancac3/index.html	Y	
101669031	ACS sensors	ACS Sens	United States	Washington, DC	American Chemical Society	2016		Monthly	2379-3694		2379-3694	eng	N	2017	Y	Y	IM	http://pubs.acs.org/journal/ascefj	Y	
101575075	ACS synthetic biology	ACS Synth Biol	United States	Washington, D.C.	American Chemical Society	2012		Monthly	2161-5063		2161-5063	eng	N	2012	Y	Y	IM	http://pubs.acs.org/journal/asbcd6	Y	
14530110R	Acta hepatologica	Act Hepato	Germany	Hamburg	Medizinische-wissenschaftliche Abteilung der Nordmark-Werke.	1953	1958			0365-2858	0365-2858	ger	N		N	N	OM		Y	
